scenario,action_id,ell,e,g,g_name,profit,profit_ci,fill_rate,fill_rate_ci,lost_sales_rate,lost_sales_ci,avg_inventory,avg_forward_inventory,avg_central_inventory,cw_shortage_freq,fw_stockout_freq,expedite_cost
Both,0,0,0,0,proportional,2573988.595000,6246.918209,0.997646,0.001526,0.002354,0.001526,275.115366,19.988371,255.126995,0.030977,0.004588,0.000000
Both,1,0,0,1,lowest_dos,2574033.510833,6176.522507,0.997654,0.001519,0.002346,0.001519,275.171872,19.984785,255.187087,0.031105,0.004563,0.000000
Both,2,0,0,2,value_penalty,2572824.045833,6531.635590,0.997488,0.001570,0.002512,0.001570,275.605532,20.009486,255.596046,0.030009,0.004911,0.000000
Both,3,0,1,0,proportional,2410992.253333,4766.243310,0.998406,0.001029,0.001594,0.001029,327.912862,20.064259,307.848603,0.005808,0.003697,145694.016667
Both,4,0,1,1,lowest_dos,2411015.174167,4744.489525,0.998419,0.001014,0.001581,0.001014,327.974940,20.064291,307.910648,0.005753,0.003668,145710.308333
Both,5,0,1,2,value_penalty,2410045.328333,5269.265022,0.998180,0.001209,0.001820,0.001209,327.844917,20.066113,307.778804,0.005936,0.003929,145664.916667
Both,6,1,0,0,proportional,2555116.929167,5707.109063,0.998414,0.001386,0.001586,0.001386,313.496384,20.585753,292.910630,0.013461,0.002636,0.000000
Both,7,1,0,1,lowest_dos,2555394.575833,5620.774230,0.998478,0.001370,0.001522,0.001370,313.378836,20.586087,292.792749,0.013388,0.002594,0.000000
Both,8,1,0,2,value_penalty,2554280.753333,5744.722659,0.998277,0.001296,0.001723,0.001296,313.637758,20.598909,293.038849,0.013096,0.002820,0.000000
Both,9,1,1,0,proportional,2391450.960000,4190.510095,0.999070,0.000888,0.000930,0.000888,366.518237,20.627168,345.891068,0.003726,0.001982,146030.791667
Both,10,1,1,1,lowest_dos,2391519.888333,4162.983021,0.999080,0.000880,0.000920,0.000880,366.537505,20.626354,345.911151,0.003763,0.001969,146021.933333
Both,11,1,1,2,value_penalty,2390980.098333,4273.996040,0.998967,0.000895,0.001033,0.000895,366.623377,20.630208,345.993169,0.003616,0.002068,146016.525000
Both,12,2,0,0,proportional,2534825.225833,4679.995181,0.999136,0.000836,0.000864,0.000836,367.939149,20.869889,347.069260,0.005534,0.001737,0.000000
Both,13,2,0,1,lowest_dos,2534897.467500,4655.262892,0.999141,0.000830,0.000859,0.000830,367.837665,20.869738,346.967927,0.005644,0.001739,0.000000
Both,14,2,0,2,value_penalty,2534229.189167,4737.989880,0.998997,0.000877,0.001003,0.000877,368.002461,20.872233,347.130228,0.005425,0.001834,0.000000
Both,15,2,1,0,proportional,2370279.205833,3778.520759,0.999419,0.000602,0.000581,0.000602,421.274439,20.886932,400.387507,0.002539,0.001395,145863.025000
Both,16,2,1,1,lowest_dos,2370288.030833,3761.855605,0.999408,0.000599,0.000592,0.000599,421.228226,20.885732,400.342493,0.002539,0.001406,145865.608333
Both,17,2,1,2,value_penalty,2369733.590000,4110.260425,0.999284,0.000716,0.000716,0.000716,421.243805,20.886162,400.357644,0.002447,0.001511,145849.183333
