action_id,ell,e,g,g_name,profit,fill_rate,lost_sales_rate,avg_inventory,expedite_cost
0,0,0,0,proportional,2453409.1592,0.960444,0.039556,232.7815,0.0000
1,0,0,1,lowest_dos,2453407.9242,0.960311,0.039689,232.3420,0.0000
2,0,0,2,value_penalty,2442606.6608,0.958570,0.041430,233.0015,0.0000
3,0,1,0,proportional,2330102.4842,0.971291,0.028709,283.7568,142012.6167
4,0,1,1,lowest_dos,2330530.0467,0.971473,0.028527,283.9458,142061.4000
5,0,1,2,value_penalty,2325684.4433,0.970457,0.029543,284.0653,141936.5333
6,1,0,0,proportional,2461944.2492,0.968066,0.031934,268.2779,0.0000
7,1,0,1,lowest_dos,2463781.5525,0.968330,0.031670,268.1672,0.0000
8,1,0,2,value_penalty,2453206.8383,0.966009,0.033991,267.0235,0.0000
9,1,1,0,proportional,2329504.6933,0.976563,0.023437,320.7451,142865.7333
10,1,1,1,lowest_dos,2331014.2650,0.976893,0.023107,320.7250,142877.2417
11,1,1,2,value_penalty,2325597.9850,0.976038,0.023962,320.9516,142820.3833
12,2,0,0,proportional,2468565.1483,0.976023,0.023977,319.4225,0.0000
13,2,0,1,lowest_dos,2468573.7258,0.975771,0.024229,318.8834,0.0000
14,2,0,2,value_penalty,2464231.4825,0.975186,0.024814,318.3174,0.0000
15,2,1,0,proportional,2327291.2483,0.982235,0.017765,372.6109,143435.1417
16,2,1,1,lowest_dos,2327359.7683,0.982189,0.017811,372.8326,143419.0167
17,2,1,2,value_penalty,2322244.1308,0.980875,0.019125,372.6118,143345.3333
