action_id,ell,e,g,g_name,profit,fill_rate,lost_sales_rate,avg_inventory,expedite_cost
0,0,0,0,proportional,1987242.8325,0.831487,0.168513,143.2361,0.0000
1,0,0,1,lowest_dos,1988378.4008,0.831646,0.168354,143.0781,0.0000
2,0,0,2,value_penalty,1954912.8542,0.824942,0.175058,143.4721,0.0000
3,0,1,0,proportional,1975038.2517,0.865729,0.134271,184.4930,127368.1250
4,0,1,1,lowest_dos,1974110.2775,0.864714,0.135286,184.0039,127344.9417
5,0,1,2,value_penalty,1952464.2600,0.861229,0.138771,185.0145,126802.5583
6,1,0,0,proportional,2065307.1433,0.854886,0.145114,168.8934,0.0000
7,1,0,1,lowest_dos,2071343.0617,0.856148,0.143852,168.8842,0.0000
8,1,0,2,value_penalty,2044714.0600,0.850584,0.149416,169.7099,0.0000
9,1,1,0,proportional,2034883.5425,0.885179,0.114821,212.8726,130230.5667
10,1,1,1,lowest_dos,2037420.1650,0.885579,0.114421,212.7929,130355.3000
11,1,1,2,value_penalty,2016880.3675,0.881147,0.118853,213.4054,129678.5500
12,2,0,0,proportional,2158504.8358,0.882912,0.117088,208.0532,0.0000
13,2,0,1,lowest_dos,2157599.8033,0.882940,0.117060,208.0904,0.0000
14,2,0,2,value_penalty,2136146.8433,0.877870,0.122130,208.7427,0.0000
15,2,1,0,proportional,2093803.3100,0.905640,0.094360,255.7311,132972.5167
16,2,1,1,lowest_dos,2097489.2250,0.906012,0.093988,255.5804,133087.8833
17,2,1,2,value_penalty,2078181.9942,0.902530,0.097470,255.4948,132483.1500
