scenario,action_id,ell,e,g,g_name,profit,profit_ci,fill_rate,fill_rate_ci,lost_sales_rate,lost_sales_ci,avg_inventory,avg_forward_inventory,avg_central_inventory,cw_shortage_freq,fw_stockout_freq,expedite_cost
Baseline,0,0,0,0,proportional,2577554.125833,2882.390804,0.999383,0.000040,0.000617,0.000040,281.432481,20.063267,261.369215,0.021169,0.002652,0.000000
Baseline,1,0,0,1,lowest_dos,2577596.067500,2901.517653,0.999386,0.000038,0.000614,0.000038,281.183920,20.063025,261.120895,0.021059,0.002647,0.000000
Baseline,2,0,0,2,value_penalty,2577339.870000,2921.578847,0.999312,0.000043,0.000688,0.000043,280.488677,20.076311,260.412365,0.022283,0.002866,0.000000
Baseline,3,0,1,0,proportional,2412546.550833,2730.820821,0.999400,0.000037,0.000600,0.000037,332.164372,20.107668,312.056703,0.000548,0.002634,145820.491667
Baseline,4,0,1,1,lowest_dos,2412596.684167,2730.937210,0.999400,0.000037,0.000600,0.000037,332.062013,20.107246,311.954767,0.000548,0.002632,145808.575000
Baseline,5,0,1,2,value_penalty,2412552.400000,2732.422536,0.999399,0.000036,0.000601,0.000036,332.107191,20.107702,311.999489,0.000548,0.002639,145822.108333
Baseline,6,1,0,0,proportional,2557281.367500,2967.015798,0.999716,0.000022,0.000284,0.000022,318.612062,20.646510,297.965553,0.006612,0.001271,0.000000
Baseline,7,1,0,1,lowest_dos,2557406.962500,2964.733633,0.999717,0.000023,0.000283,0.000023,318.365665,20.645921,297.719744,0.006959,0.001271,0.000000
Baseline,8,1,0,2,value_penalty,2557362.403333,3011.981359,0.999707,0.000021,0.000293,0.000021,317.994735,20.649740,297.344995,0.006776,0.001300,0.000000
Baseline,9,1,1,0,proportional,2392020.269167,2771.818706,0.999719,0.000021,0.000281,0.000021,370.107374,20.657594,349.449781,0.000000,0.001260,146094.333333
Baseline,10,1,1,1,lowest_dos,2392020.269167,2771.818706,0.999719,0.000021,0.000281,0.000021,370.107374,20.657594,349.449781,0.000000,0.001260,146094.333333
Baseline,11,1,1,2,value_penalty,2392020.269167,2771.818706,0.999719,0.000021,0.000281,0.000021,370.107374,20.657594,349.449781,0.000000,0.001260,146094.333333
Baseline,12,2,0,0,proportional,2535125.933333,3042.180609,0.999820,0.000015,0.000180,0.000015,374.291195,20.904884,353.386311,0.000712,0.000877,0.000000
Baseline,13,2,0,1,lowest_dos,2535099.830000,3036.900623,0.999820,0.000015,0.000180,0.000015,374.340717,20.904763,353.435954,0.000694,0.000879,0.000000
Baseline,14,2,0,2,value_penalty,2535147.207500,3033.221635,0.999819,0.000015,0.000181,0.000015,374.196617,20.905695,353.290922,0.000694,0.000884,0.000000
Baseline,15,2,1,0,proportional,2370041.080000,2786.704587,0.999818,0.000015,0.000182,0.000015,426.073637,20.906157,405.167479,0.000000,0.000886,145933.391667
Baseline,16,2,1,1,lowest_dos,2370041.080000,2786.704587,0.999818,0.000015,0.000182,0.000015,426.073637,20.906157,405.167479,0.000000,0.000886,145933.391667
Baseline,17,2,1,2,value_penalty,2370041.080000,2786.704587,0.999818,0.000015,0.000182,0.000015,426.073637,20.906157,405.167479,0.000000,0.000886,145933.391667
