scenario,action_id,ell,e,g,g_name,profit,profit_ci,fill_rate,fill_rate_ci,lost_sales_rate,lost_sales_ci,avg_inventory,avg_forward_inventory,avg_central_inventory,cw_shortage_freq,fw_stockout_freq,expedite_cost
Supply-only,0,0,0,0,proportional,2575261.341667,4233.949321,0.998359,0.001018,0.001641,0.001018,278.143520,20.034926,258.108594,0.024219,0.003629,0.000000
Supply-only,1,0,0,1,lowest_dos,2575280.970833,4139.834220,0.998448,0.000982,0.001552,0.000982,278.639821,20.035730,258.604091,0.024329,0.003595,0.000000
Supply-only,2,0,0,2,value_penalty,2574238.693333,4372.311139,0.998206,0.001064,0.001794,0.001064,278.718435,20.042626,258.675808,0.024639,0.003900,0.000000
Supply-only,3,0,1,0,proportional,2410680.410833,3865.455790,0.998618,0.000928,0.001382,0.000928,330.322914,20.081572,310.241342,0.002849,0.003416,145703.483333
Supply-only,4,0,1,1,lowest_dos,2410686.149167,3875.037239,0.998616,0.000929,0.001384,0.000929,330.272235,20.081184,310.191050,0.002849,0.003412,145728.041667
Supply-only,5,0,1,2,value_penalty,2410326.524167,4001.698746,0.998534,0.000965,0.001466,0.000965,330.400577,20.082431,310.318146,0.002886,0.003481,145716.666667
Supply-only,6,1,0,0,proportional,2555201.049167,4140.203469,0.998991,0.000851,0.001009,0.000851,317.855209,20.618661,297.236548,0.009078,0.001996,0.000000
Supply-only,7,1,0,1,lowest_dos,2555127.039167,4122.302276,0.998939,0.000864,0.001061,0.000864,317.799463,20.617728,297.181735,0.009205,0.002044,0.000000
Supply-only,8,1,0,2,value_penalty,2554891.711667,4225.877145,0.998912,0.000898,0.001088,0.000898,317.504896,20.622485,296.882411,0.009626,0.002102,0.000000
Supply-only,9,1,1,0,proportional,2390363.256667,3964.069378,0.999136,0.000823,0.000864,0.000823,369.612511,20.637242,348.975269,0.001918,0.001848,146002.908333
Supply-only,10,1,1,1,lowest_dos,2390372.650000,3951.183725,0.999135,0.000824,0.000865,0.000824,369.602995,20.637233,348.965763,0.001936,0.001852,145995.450000
Supply-only,11,1,1,2,value_penalty,2390137.240000,3986.300507,0.999095,0.000849,0.000905,0.000849,369.768669,20.637939,349.130731,0.001936,0.001887,146008.600000
Supply-only,12,2,0,0,proportional,2534113.085833,3789.327159,0.999228,0.000698,0.000772,0.000698,370.851572,20.883197,349.968374,0.002977,0.001492,0.000000
Supply-only,13,2,0,1,lowest_dos,2534140.410833,3836.066060,0.999231,0.000698,0.000769,0.000698,370.739632,20.882901,349.856731,0.002941,0.001503,0.000000
Supply-only,14,2,0,2,value_penalty,2533863.448333,3800.799942,0.999182,0.000717,0.000818,0.000717,370.839188,20.884732,349.954457,0.002959,0.001540,0.000000
Supply-only,15,2,1,0,proportional,2369023.779167,3599.242667,0.999350,0.000677,0.000650,0.000677,424.223567,20.889750,403.333817,0.001534,0.001361,145868.333333
Supply-only,16,2,1,1,lowest_dos,2369056.899167,3612.525350,0.999354,0.000677,0.000646,0.000677,424.145059,20.889753,403.255306,0.001534,0.001361,145874.416667
Supply-only,17,2,1,2,value_penalty,2368918.498333,3611.499855,0.999328,0.000684,0.000672,0.000684,424.175088,20.890585,403.284502,0.001534,0.001394,145868.000000
