scenario,action_id,ell,e,g,g_name,profit,profit_ci,fill_rate,fill_rate_ci,lost_sales_rate,lost_sales_ci,avg_inventory,avg_forward_inventory,avg_central_inventory,cw_shortage_freq,fw_stockout_freq,expedite_cost
Transport-only,0,0,0,0,proportional,2574756.897500,4255.059334,0.997980,0.001074,0.002020,0.001074,277.116616,20.016973,257.099644,0.027616,0.004049,0.000000
Transport-only,1,0,0,1,lowest_dos,2574898.768333,4119.081765,0.998096,0.000999,0.001904,0.000999,277.433584,20.019575,257.414009,0.027361,0.003991,0.000000
Transport-only,2,0,0,2,value_penalty,2574022.509167,3930.179894,0.997892,0.000932,0.002108,0.000932,277.819336,20.025811,257.793525,0.027525,0.004256,0.000000
Transport-only,3,0,1,0,proportional,2411710.150000,3334.555096,0.998808,0.000591,0.001192,0.000591,329.412001,20.084001,309.328000,0.003452,0.003244,145749.941667
Transport-only,4,0,1,1,lowest_dos,2411873.200833,3354.564551,0.998849,0.000584,0.001151,0.000584,329.418969,20.084768,309.334201,0.003452,0.003205,145758.050000
Transport-only,5,0,1,2,value_penalty,2411509.887500,3354.970969,0.998755,0.000617,0.001245,0.000617,329.350526,20.084471,309.266055,0.003525,0.003295,145737.600000
Transport-only,6,1,0,0,proportional,2555219.485000,3834.261998,0.998880,0.000692,0.001120,0.000692,316.691217,20.608715,296.082502,0.011616,0.002212,0.000000
Transport-only,7,1,0,1,lowest_dos,2555262.949167,3983.184337,0.998861,0.000696,0.001139,0.000696,316.537327,20.606916,295.930411,0.011726,0.002228,0.000000
Transport-only,8,1,0,2,value_penalty,2554855.230000,3824.232048,0.998777,0.000698,0.001223,0.000698,316.309531,20.611147,295.698384,0.011689,0.002345,0.000000
Transport-only,9,1,1,0,proportional,2391342.216667,3325.445266,0.999342,0.000495,0.000658,0.000495,368.988601,20.639733,348.348868,0.002502,0.001708,146027.675000
Transport-only,10,1,1,1,lowest_dos,2391373.996667,3313.267695,0.999352,0.000493,0.000648,0.000493,368.997063,20.639757,348.357306,0.002447,0.001711,146030.758333
Transport-only,11,1,1,2,value_penalty,2391214.213333,3319.008330,0.999297,0.000509,0.000703,0.000509,368.844281,20.639487,348.204795,0.002429,0.001748,146010.200000
Transport-only,12,2,0,0,proportional,2534262.640833,3715.400152,0.999135,0.000629,0.000865,0.000629,369.813742,20.875907,348.937836,0.004347,0.001600,0.000000
Transport-only,13,2,0,1,lowest_dos,2534334.773333,3740.702659,0.999146,0.000630,0.000854,0.000630,369.705436,20.875463,348.829973,0.004365,0.001580,0.000000
Transport-only,14,2,0,2,value_penalty,2534175.252500,3733.347096,0.999089,0.000633,0.000911,0.000633,369.586455,20.877752,348.708703,0.004128,0.001638,0.000000
Transport-only,15,2,1,0,proportional,2369890.898333,3077.663927,0.999480,0.000386,0.000520,0.000386,423.273753,20.889543,402.384210,0.001936,0.001273,145877.225000
Transport-only,16,2,1,1,lowest_dos,2369898.960000,3082.689682,0.999480,0.000385,0.000520,0.000385,423.234536,20.889678,402.344858,0.001973,0.001282,145886.741667
Transport-only,17,2,1,2,value_penalty,2369754.185000,3087.352235,0.999444,0.000401,0.000556,0.000401,423.247789,20.889908,402.357881,0.001900,0.001333,145874.975000
