part,scenario,algo,warmstart,mean_profit,ci95,n_rep,delta_rule,delta_best,horizon,note
A,none,"fixed_0_(s,S)",,2580809.3925,3836.839335760072,10,-209.30999999912456,-209.30999999912456,30+365,no disruption
A,none,best_fixed_1,,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,rule_based,,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,dqn,N,2567091.6800000006,3687.4465035883422,10,-13927.022499998566,-13927.022499998566,30+365,no disruption
A,none,dqn,Y,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,ddqn,N,2567262.265,4454.87983055236,10,-13756.437499999069,-13756.437499999069,30+365,no disruption
A,none,ddqn,Y,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,dueling,N,2562045.745,3350.274448275798,10,-18972.957499999087,-18972.957499999087,30+365,no disruption
A,none,dueling,Y,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,d3qn,N,2558370.2575000008,2724.231500319206,10,-22648.444999998435,-22648.444999998435,30+365,no disruption
A,none,d3qn,Y,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,ppo,N,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,none,ppo,Y,2581018.702499999,3905.518619307314,10,0.0,0.0,30+365,no disruption
A,supply_only_pdf,"fixed_0_(s,S)",,2574805.1325000003,10084.259042043643,10,-350.29749999940395,82.3574999999255,30+365,A-chain only
A,supply_only_pdf,best_fixed_1,,2574722.7750000004,10093.280894949947,10,-432.65499999932945,0.0,30+365,A-chain only
A,supply_only_pdf,rule_based,,2575155.4299999997,9451.022138358534,10,0.0,432.65499999932945,30+365,A-chain only
A,supply_only_pdf,dqn,N,2558322.5900000003,9442.404834739118,10,-16832.839999999385,-16400.185000000056,30+365,A-chain only
A,supply_only_pdf,dqn,Y,2575155.4299999997,9451.022138358534,10,0.0,432.65499999932945,30+365,A-chain only
A,supply_only_pdf,ddqn,N,2561726.222499999,8312.900955169898,10,-13429.207500000484,-12996.552500001155,30+365,A-chain only
