profile,algo,mean,ci,delta_rule,delta_best
pdf,dqn,2520611.925000001,4178.74792812471,-54250.73499999847,-53444.12916666502
pdf,ddqn,2524140.026666667,4254.120137702491,-50722.63333333284,-49916.027499999385
pdf,dueling,2509697.4541666666,5029.999801587344,-65165.20583333308,-64358.59999999963
pdf,d3qn,2523358.8933333335,4638.8430079211885,-51503.76666666614,-50697.16083333269
pdf,ppo,2574885.88,5365.286466419128,23.22000000020489,829.8258333336562
harsh_mild,dqn,2441092.4583333335,26041.553980831668,-45062.902499999385,-25863.701666667126
harsh_mild,ddqn,2437807.295,25102.880249491613,-48348.06583333295,-29148.86500000069
harsh_mild,dueling,2432852.8975,23164.082381698387,-53302.46333333291,-34103.26250000065
harsh_mild,d3qn,2440802.6191666666,25386.692458535174,-45352.74166666623,-26153.540833333973
harsh_mild,ppo,2472945.571666667,28427.461298634636,-13209.789166666102,5989.4116666661575
harsh_strong,dqn,2122684.166666666,59736.57167077512,-21222.794999999925,-32555.47166666761
harsh_strong,ddqn,2097040.7441666664,56106.69678893974,-46866.21749999956,-58198.89416666725
harsh_strong,dueling,2130325.0766666667,55200.6796444332,-13581.88499999931,-24914.561666666996
harsh_strong,d3qn,2127642.3391666664,57401.07014971163,-16264.62249999959,-27597.299166667275
harsh_strong,ppo,2117285.9799999995,58747.89853020974,-26620.981666666456,-37953.65833333414
